"FileName","RelativePath","FullPath","SizeBytes","LastWriteTime","SHA256"
"13-audit-policy.txt","DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\13-audit-policy.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\13-audit-policy.txt","7366","6/12/2026 7:49:29 PM","99ECD4D16F95F8B21F5D576C1BDAFDF692DA08DE789A20255EAF2539CDB56E40"
"14-security-events-last-24h.txt","DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\14-security-events-last-24h.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\14-security-events-last-24h.txt","206366","6/12/2026 7:49:38 PM","5D71ED13167A7E70CBEF41C1B3EDB43B368E589E8C66AD09C799E13998ADF413"
"15-powershell-logging-policy-registry.txt","DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\15-powershell-logging-policy-registry.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\15-powershell-logging-policy-registry.txt","2606","6/12/2026 7:49:39 PM","CE40D59C7E6A46F2B230BE285891BA08999E72D500F8BD92A786B12890F27FED"
"16-powershell-operational-events.txt","DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\16-powershell-operational-events.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\16-powershell-operational-events.txt","181468","6/12/2026 7:49:44 PM","C278E40871BBDECE6E99A19EF4A92E563B9E2C189496A0977F939D9A07FFEFE9"
"17-group-policy-operational-events.txt","DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\17-group-policy-operational-events.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\17-group-policy-operational-events.txt","31572","6/12/2026 7:49:45 PM","51101E4EB020BC3389CCEDF244CBC60DD3AD1AC6BEC807A93AAD83E15555B62C"
"18-system-errors-warnings-last-24h.txt","DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\18-system-errors-warnings-last-24h.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\18-system-errors-warnings-last-24h.txt","7854","6/12/2026 7:49:46 PM","02BEAC2C4D4E2788A98509B21663D8D22DD6B2B8795D2A83D23B89749CFB92D8"
"19-validation-summary.txt","DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\19-validation-summary.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\19-validation-summary.txt","1294","6/12/2026 7:49:46 PM","A74E4C85A8F44AF958B5D7780760F8DD2651E4CEF482502F6E6A44B7A3C8CFC0"
"20-evidence-file-list.txt","DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\20-evidence-file-list.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\20-evidence-file-list.txt","2996","6/12/2026 7:49:46 PM","1144EDABD435D69A861C2FEACE749D3ED6A695350F20963A9D47397A44852C18"
"01-w32tm-status-before.txt","DC01-Evidence\DC01-Time-Service-Fix-20260612-195240\01-w32tm-status-before.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Time-Service-Fix-20260612-195240\01-w32tm-status-before.txt","674","6/12/2026 7:52:41 PM","F69F0C42F1000326D9858B90E6BB81C15A08A2E13B7636D02803AC09E063ADED"
"02-w32tm-source-before.txt","DC01-Evidence\DC01-Time-Service-Fix-20260612-195240\02-w32tm-source-before.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Time-Service-Fix-20260612-195240\02-w32tm-source-before.txt","56","6/12/2026 7:52:42 PM","BBEAFF620247EFEEC314DBC54FB7F5C53DB814F6DFD6E1A96BC58A0BD7A4F788"
"03-w32tm-configure.txt","DC01-Evidence\DC01-Time-Service-Fix-20260612-195240\03-w32tm-configure.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Time-Service-Fix-20260612-195240\03-w32tm-configure.txt","76","6/12/2026 7:52:42 PM","E7E0EB393DA2F47AD8CA87191D58E718D5CA5455501F7A69940B2F9865238257"
"04-w32time-service.txt","DC01-Evidence\DC01-Time-Service-Fix-20260612-195240\04-w32time-service.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Time-Service-Fix-20260612-195240\04-w32time-service.txt","176","6/12/2026 7:52:48 PM","E20BBF504C96343D21D9176149730FB272D553A1BD3F7313D6B86E4DDE7B45C8"
"05-w32tm-resync.txt","DC01-Evidence\DC01-Time-Service-Fix-20260612-195240\05-w32tm-resync.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Time-Service-Fix-20260612-195240\05-w32tm-resync.txt","216","6/12/2026 5:52:59 PM","374A5205EE266575BC6D33BF3494F090D186A7B468B24876056423C45628F79C"
"06-w32tm-status-after.txt","DC01-Evidence\DC01-Time-Service-Fix-20260612-195240\06-w32tm-status-after.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Time-Service-Fix-20260612-195240\06-w32tm-status-after.txt","662","6/12/2026 5:53:10 PM","133EE66D509C49E2E789891C5F3B517A115865FF5317840DAD19E3276F9B4213"
